"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2017","48,907.0","49,075.0","49,075.0","48,739.0","3.05K","-0.34%"
"Sep 26, 2017","49,075.0","48,151.0","49,075.0","48,151.0","4.14K","-0.17%"
"Sep 25, 2017","49,159.0","48,319.0","49,159.0","47,983.0","6.31K","0.00%"
"Sep 22, 2017","49,159.0","49,159.0","49,159.0","49,159.0","0.88K","0.00%"
"Sep 21, 2017","49,159.0","49,327.0","49,327.0","48,739.0","3.08K","0.86%"
"Sep 20, 2017","48,739.0","46,890.0","49,411.0","46,890.0","2.27K","-0.68%"
"Sep 19, 2017","49,075.0","49,159.0","49,159.0","47,899.0","4.35K","-0.17%"
"Sep 18, 2017","49,159.0","47,058.0","50,000.0","46,218.0","15.82K","4.46%"
"Sep 15, 2017","47,058.0","46,638.0","47,479.0","46,638.0","1.45K","0.00%"
"Sep 14, 2017","47,058.0","47,058.0","47,058.0","46,974.0","4.09K","0.00%"
"Sep 13, 2017","47,058.0","46,638.0","47,058.0","46,638.0","3.73K","0.90%"
"Sep 12, 2017","46,638.0","46,554.0","46,638.0","46,554.0","2.76K","0.00%"
"Sep 11, 2017","46,638.0","45,546.0","46,638.0","45,546.0","3.33K","0.36%"
"Sep 08, 2017","46,470.0","46,218.0","46,638.0","46,218.0","1.46K","0.55%"
"Sep 07, 2017","46,218.0","46,638.0","46,638.0","45,798.0","20.91K","0.92%"
"Sep 06, 2017","45,798.0","46,638.0","46,638.0","45,714.0","34.77K","-1.80%"
"Sep 05, 2017","46,638.0","46,890.0","46,890.0","46,218.0","1.50K","0.00%"
"Sep 01, 2017","46,638.0","46,890.0","46,890.0","46,218.0","0.62K","1.09%"
"Aug 31, 2017","46,134.0","46,974.0","47,058.0","45,798.0","5.48K","-1.08%"
"Aug 30, 2017","46,638.0","46,974.0","46,974.0","46,554.0","0.09K","2.02%"
"Aug 29, 2017","45,714.0","47,058.0","47,058.0","45,378.0","2.09K","-1.09%"
"Aug 28, 2017","46,218.0","45,882.0","47,058.0","45,882.0","1.62K","-1.79%"
"Aug 25, 2017","47,058.0","45,462.0","47,226.0","45,462.0","2.00K","-0.53%"
"Aug 24, 2017","47,311.0","47,395.0","47,395.0","46,386.0","0.62K","0.90%"
"Aug 23, 2017","46,890.0","46,974.0","47,058.0","46,638.0","0.94K","-0.36%"
"Aug 22, 2017","47,058.0","47,311.0","47,311.0","47,058.0","1.34K","0.18%"
"Aug 21, 2017","46,974.0","47,479.0","47,479.0","46,974.0","0.18K","2.19%"
"Aug 18, 2017","45,966.0","46,974.0","46,974.0","45,966.0","1.35K","0.37%"
"Aug 17, 2017","45,798.0","47,479.0","47,479.0","45,630.0","2.24K","-2.68%"
"Aug 16, 2017","47,058.0","47,479.0","47,479.0","46,386.0","2.02K","0.18%"
"Aug 15, 2017","46,974.0","46,722.0","47,058.0","45,546.0","6.34K","-1.59%"
"Aug 14, 2017","47,731.0","47,731.0","47,731.0","47,731.0","0.23K","0.00%"
"Aug 11, 2017","47,731.0","47,731.0","47,815.0","47,058.0","0.74K","-0.18%"
"Aug 10, 2017","47,815.0","47,899.0","47,899.0","47,479.0","0.29K","0.18%"
"Aug 09, 2017","47,731.0","47,983.0","47,983.0","46,722.0","1.99K","-0.53%"
"Aug 08, 2017","47,983.0","48,319.0","48,319.0","47,479.0","1.22K","-0.70%"
"Aug 07, 2017","48,319.0","48,487.0","48,487.0","47,899.0","2.74K","1.41%"
"Aug 04, 2017","47,647.0","47,078.0","47,647.0","46,754.0","10.04K","1.38%"
"Aug 03, 2017","46,997.0","47,403.0","47,403.0","46,673.0","2.09K","0.35%"
"Aug 02, 2017","46,835.0","46,835.0","47,728.0","44,643.0","50.78K","2.12%"
"Aug 01, 2017","45,861.0","48,296.0","48,702.0","45,861.0","21.23K","-2.59%"
"Jul 31, 2017","47,078.0","49,514.0","49,514.0","46,673.0","12.82K","-4.92%"
"Jul 28, 2017","49,514.0","48,702.0","52,111.0","47,078.0","106.97K","1.67%"
"Jul 27, 2017","48,702.0","48,702.0","48,702.0","47,890.0","1.32K","0.00%"
"Jul 26, 2017","48,702.0","47,078.0","48,702.0","47,078.0","37.85K","3.45%"
